Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
22.01.19;13:24:15;1;0;0.2123;0.4206;0.2123;0.495;0.000;0.505;0.000;0.000;1.000;1.000;  0.0;0.000;0.000;
22.01.19;13:24:57;2;36;0.2721;0.4196;0.2120;0.352;0.000;0.648;0.000;0.000;0.710;0.553;  5.3;0.000;0.000;
22.01.19;13:25:17;3;36;0.2922;0.3922;0.2048;0.255;0.053;0.692;0.020;0.133;0.533;0.374;  3.9;0.000;0.000;
22.01.19;13:25:37;4;36;0.2770;0.3740;0.1997;0.260;0.082;0.658;0.031;0.212;0.557;0.402;  3.9;0.000;0.000;
22.01.19;13:25:57;5;36;0.2686;0.3608;0.1959;0.255;0.108;0.637;0.043;0.267;0.557;0.406;  3.9;0.000;0.000;
22.01.19;13:26:17;6;36;0.2647;0.3554;0.1943;0.255;0.118;0.627;0.047;0.286;0.565;0.414;  3.9;0.000;0.000;
22.01.19;13:26:37;7;36;0.2598;0.3490;0.1923;0.256;0.126;0.618;0.051;0.314;0.569;0.421;  3.9;0.000;0.000;
22.01.19;13:26:57;8;36;0.2534;0.3485;0.1922;0.273;0.123;0.604;0.051;0.314;0.608;0.461;  4.1;0.000;0.000;
22.01.19;13:27:17;9;36;0.2495;0.3407;0.1898;0.268;0.139;0.593;0.059;0.345;0.604;0.459;  4.0;0.000;0.000;
22.01.19;13:27:37;10;36;0.2480;0.3377;0.1889;0.266;0.147;0.587;0.063;0.357;0.604;0.460;  4.0;0.000;0.000;
