Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;14:46:45;1;0;0.1368;0.1613;0.1363;0.3162;0.4475;0.3289;0.1368;0.1613;0.1363;0.567;0.640;0.586;0.000;0.000;0.000;0.433;0.360;0.414;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;0.000;0.000;0.000;-0.127;-0.032;
22.01.19;14:47:27;2;36;0.2216;0.4309;0.2696;0.3186;0.4500;0.3294;0.1372;0.1616;0.1364;0.305;0.042;0.182;0.000;0.000;0.000;0.698;0.958;0.819;0.000;0.000;0.000;0.000;0.000;0.000;0.533;0.067;0.310;0.330;0.025;0.157;  5.5;  0.6;  2.7;1.000;0.000;0.000;0.000;0.861;0.404;
22.01.19;14:47:47;3;36;0.2186;0.4544;0.2667;0.3054;0.4500;0.3196;0.1347;0.1616;0.1346;0.284;0.000;0.166;0.023;0.000;0.025;0.693;1.000;0.809;0.008;0.000;0.008;0.059;0.000;0.047;0.510;0.000;0.286;0.314;0.000;0.145;  5.1;  0.0;  2.5;1.000;0.000;0.000;0.000;1.000;0.417;
22.01.19;14:48:07;4;36;0.2029;0.4480;0.2578;0.3054;0.4426;0.3162;0.1347;0.1606;0.1340;0.335;0.000;0.184;0.021;0.000;0.036;0.644;1.000;0.779;0.008;0.000;0.012;0.059;0.000;0.067;0.600;0.000;0.322;0.398;0.000;0.167;  6.0;  0.0;  2.8;1.000;0.000;0.000;0.000;1.000;0.450;
22.01.19;14:48:27;5;36;0.2034;0.4422;0.2529;0.3020;0.4338;0.3039;0.1340;0.1595;0.1318;0.326;0.000;0.168;0.031;0.030;0.062;0.643;0.970;0.770;0.012;0.008;0.020;0.078;0.047;0.125;0.588;0.000;0.298;0.388;0.000;0.155;  5.9;  0.0;  2.5;1.000;0.000;0.000;0.000;1.000;0.486;
22.01.19;14:48:47;6;36;0.1990;0.4324;0.2446;0.2985;0.4240;0.3010;0.1334;0.1581;0.1312;0.333;0.000;0.187;0.039;0.059;0.070;0.628;0.941;0.742;0.016;0.016;0.024;0.098;0.082;0.141;0.604;0.000;0.333;0.405;0.000;0.179;  6.0;  0.0;  2.8;1.000;0.000;0.000;0.000;1.000;0.438;
22.01.19;14:49:07;7;36;0.1961;0.4279;0.2373;0.2985;0.4176;0.2966;0.1334;0.1572;0.1304;0.343;0.000;0.200;0.038;0.073;0.079;0.619;0.927;0.721;0.016;0.020;0.027;0.098;0.102;0.165;0.620;0.000;0.357;0.421;0.000;0.196;  6.2;  0.0;  3.0;1.000;0.000;0.000;0.000;1.000;0.417;
22.01.19;14:49:27;8;36;0.1951;0.4196;0.2294;0.2975;0.4127;0.2868;0.1332;0.1565;0.1285;0.344;0.000;0.200;0.039;0.073;0.099;0.617;0.927;0.701;0.016;0.020;0.035;0.102;0.118;0.212;0.624;0.000;0.361;0.426;0.000;0.202;  6.2;  0.0;  3.0;1.000;0.000;0.000;0.000;1.000;0.419;
22.01.19;14:49:47;9;36;0.1941;0.4093;0.2240;0.2975;0.4029;0.2804;0.1332;0.1551;0.1272;0.348;0.000;0.201;0.038;0.099;0.118;0.614;0.901;0.681;0.016;0.027;0.043;0.102;0.153;0.239;0.627;0.000;0.369;0.430;0.000;0.209;  6.3;  0.0;  3.0;1.000;0.000;0.000;0.000;1.000;0.422;
22.01.19;14:50:07;10;36;0.1922;0.4064;0.2206;0.2941;0.3966;0.2760;0.1325;0.1541;0.1262;0.347;0.000;0.201;0.047;0.111;0.127;0.606;0.889;0.673;0.020;0.031;0.047;0.122;0.173;0.263;0.631;0.000;0.369;0.435;0.000;0.211;  6.2;  0.0;  3.0;1.000;0.000;0.000;0.000;1.000;0.421;
