Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
21.01.19;15:56:34;1;0;0.1613;0.1475;0.3554;0.2735;0.1613;0.1475;0.546;0.461;0.000;0.000;0.454;0.539;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;0.157;
21.01.19;15:57:16;2;36;0.2539;0.2020;0.3583;0.2784;0.1619;0.1490;0.291;0.275;0.000;0.000;0.710;0.728;0.000;0.000;0.000;0.000;0.533;0.592;0.340;0.437;  4.4;  4.2;0.000;0.000;0.000;0.057;
21.01.19;15:57:36;3;36;0.2525;0.2020;0.3363;0.2657;0.1572;0.1452;0.249;0.240;0.043;0.005;0.708;0.755;0.016;0.000;0.098;0.000;0.467;0.529;0.291;0.381;  3.8;  3.6;0.000;0.000;0.000;0.038;
21.01.19;15:57:56;4;36;0.2373;0.1936;0.3260;0.2539;0.1549;0.1416;0.272;0.237;0.062;0.055;0.666;0.707;0.024;0.020;0.145;0.149;0.518;0.537;0.338;0.393;  4.1;  3.6;0.000;0.000;0.000;0.128;
21.01.19;15:58:16;5;36;0.2348;0.1897;0.3196;0.2480;0.1535;0.1398;0.265;0.235;0.073;0.074;0.662;0.691;0.027;0.027;0.176;0.192;0.510;0.537;0.333;0.396;  4.0;  3.6;0.000;0.000;0.000;0.114;
21.01.19;15:58:36;6;36;0.2314;0.1828;0.3172;0.2397;0.1529;0.1371;0.270;0.237;0.080;0.094;0.649;0.669;0.031;0.035;0.188;0.247;0.522;0.553;0.345;0.415;  4.1;  3.6;0.000;0.000;0.000;0.123;
21.01.19;15:58:56;7;36;0.2260;0.1794;0.3088;0.2373;0.1509;0.1363;0.268;0.244;0.099;0.102;0.633;0.654;0.039;0.039;0.227;0.263;0.525;0.573;0.351;0.435;  4.1;  3.7;0.000;0.000;0.000;0.091;
21.01.19;15:59:16;8;36;0.2196;0.1779;0.3054;0.2319;0.1501;0.1345;0.281;0.233;0.099;0.114;0.620;0.654;0.039;0.043;0.243;0.298;0.553;0.553;0.378;0.418;  4.2;  3.5;0.000;0.000;0.000;0.172;
21.01.19;15:59:36;9;36;0.2181;0.1730;0.3029;0.2299;0.1495;0.1338;0.280;0.247;0.106;0.119;0.614;0.633;0.043;0.047;0.255;0.314;0.553;0.592;0.379;0.458;  4.2;  3.7;0.000;0.000;0.000;0.116;
21.01.19;15:59:56;10;36;0.2167;0.1716;0.2971;0.2270;0.1481;0.1328;0.271;0.244;0.123;0.128;0.606;0.628;0.051;0.051;0.282;0.329;0.541;0.588;0.370;0.455;  4.1;  3.7;0.000;0.000;0.000;0.098;
21.01.19;16:00:16;11;36;0.2108;0.1701;0.2926;0.2265;0.1470;0.1327;0.280;0.249;0.129;0.127;0.592;0.624;0.055;0.051;0.302;0.333;0.561;0.600;0.391;0.468;  4.2;  3.8;0.000;0.000;0.000;0.110;
21.01.19;16:00:36;12;36;0.2123;0.1691;0.2971;0.2206;0.1481;0.1306;0.285;0.233;0.120;0.147;0.595;0.620;0.051;0.059;0.282;0.369;0.569;0.573;0.397;0.442;  4.3;  3.5;0.000;0.000;0.000;0.183;
21.01.19;16:00:56;13;36;0.2098;0.1642;0.2946;0.2196;0.1475;0.1303;0.288;0.252;0.121;0.149;0.591;0.599;0.051;0.063;0.294;0.376;0.576;0.620;0.405;0.492;  4.4;  3.8;0.000;0.000;0.000;0.124;
21.01.19;16:01:16;14;36;0.2088;0.1676;0.2917;0.2186;0.1467;0.1299;0.284;0.233;0.129;0.154;0.587;0.613;0.055;0.063;0.306;0.384;0.573;0.576;0.402;0.447;  4.3;  3.5;0.000;0.000;0.000;0.179;
21.01.19;16:01:36;15;36;0.2049;0.1637;0.2907;0.2167;0.1465;0.1293;0.295;0.244;0.128;0.158;0.577;0.597;0.055;0.067;0.310;0.396;0.596;0.604;0.426;0.477;  4.5;  3.7;0.000;0.000;0.000;0.172;
