Date;Time;No.;PAR;F1;F2;F3;F4;Fm'1;Fm'2;Fm'3;Fm'4;Fo'1;Fo'2;Fo'3;Fo'4;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NO)1;Y(NO)2;Y(NO)3;Y(NO)4;NPQ1;NPQ2;NPQ3;NPQ4;qN1;qN2;qN3;qN4;qP1;qP2;qP3;qP4;qL1;qL2;qL3;qL4;ETR1;ETR2;ETR3;ETR4;Abs.1;Abs.2;Abs.3;Abs.4;Inh.1;Inh.2;Inh.3;Inh.4;
22.01.19;13:11:52;1;0;0.0441;0.1760;0.1343;0.1711;0.0917;0.3426;0.2647;0.3578;0.0441;0.1760;0.1343;0.1711;0.519;0.486;0.493;0.522;0.000;0.000;0.000;0.000;0.481;0.514;0.507;0.478;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;  0.0;0.000;0.000;0.000;0.000;0.000;0.062;0.050;-0.006;
22.01.19;13:12:34;2;36;0.0760;0.2422;0.1848;0.2490;0.0902;0.3520;0.2598;0.3613;0.0438;0.1784;0.1330;0.1719;0.158;0.312;0.289;0.311;0.002;0.000;0.004;0.000;0.840;0.694;0.707;0.691;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.306;0.631;0.592;0.592;0.176;0.465;0.426;0.409;  2.4;  4.7;  4.4;  4.7;0.000;0.000;0.000;0.000;0.000;-0.979;-0.832;-0.971;
22.01.19;13:12:54;3;36;0.0750;0.2314;0.1711;0.2368;0.0853;0.3348;0.2377;0.3358;0.0426;0.1739;0.1270;0.1659;0.121;0.309;0.280;0.295;0.007;0.005;0.072;0.043;0.872;0.686;0.647;0.662;0.000;0.000;0.027;0.016;0.000;0.000;0.196;0.114;0.239;0.643;0.604;0.584;0.136;0.483;0.448;0.409;  1.8;  4.7;  4.2;  4.5;0.000;0.000;0.000;0.000;0.000;-1.560;-1.323;-1.443;
22.01.19;13:13:14;4;36;0.0735;0.2201;0.1657;0.2250;0.0843;0.3221;0.2319;0.3299;0.0423;0.1704;0.1253;0.1644;0.128;0.317;0.285;0.318;0.010;0.040;0.088;0.051;0.862;0.643;0.627;0.631;0.000;0.016;0.035;0.020;0.000;0.118;0.235;0.145;0.259;0.671;0.620;0.635;0.149;0.519;0.469;0.464;  1.9;  4.8;  4.3;  4.8;0.000;0.000;0.000;0.000;0.000;-1.475;-1.231;-1.486;
22.01.19;13:13:34;5;36;0.0735;0.2162;0.1632;0.2255;0.0838;0.3211;0.2328;0.3284;0.0422;0.1701;0.1256;0.1641;0.123;0.327;0.299;0.313;0.010;0.040;0.087;0.059;0.867;0.633;0.614;0.628;0.000;0.016;0.035;0.024;0.000;0.125;0.227;0.153;0.247;0.694;0.651;0.627;0.142;0.546;0.501;0.457;  1.9;  4.9;  4.5;  4.7;0.000;0.000;0.000;0.000;0.000;-1.660;-1.434;-1.552;
22.01.19;13:13:54;6;36;0.0725;0.2127;0.1618;0.2191;0.0828;0.3201;0.2289;0.3211;0.0420;0.1698;0.1244;0.1622;0.124;0.335;0.293;0.318;0.086;0.041;0.096;0.069;0.790;0.624;0.611;0.614;0.027;0.016;0.039;0.027;0.176;0.129;0.255;0.188;0.251;0.714;0.643;0.643;0.145;0.570;0.495;0.476;  1.9;  5.1;  4.4;  4.8;0.000;0.000;0.000;0.000;0.000;-1.699;-1.361;-1.556;
22.01.19;13:14:14;7;36;0.0716;0.2103;0.1598;0.2132;0.0833;0.3127;0.2294;0.3167;0.0421;0.1677;0.1246;0.1611;0.141;0.328;0.303;0.327;0.075;0.058;0.094;0.076;0.784;0.614;0.603;0.597;0.024;0.024;0.039;0.031;0.169;0.173;0.251;0.208;0.286;0.706;0.663;0.667;0.168;0.563;0.517;0.504;  2.1;  5.0;  4.6;  4.9;0.000;0.000;0.000;0.000;0.000;-1.320;-1.149;-1.314;
22.01.19;13:14:34;8;36;0.0706;0.2088;0.1544;0.2108;0.0824;0.3103;0.2250;0.3137;0.0418;0.1670;0.1233;0.1603;0.143;0.327;0.314;0.328;0.085;0.066;0.102;0.083;0.772;0.607;0.585;0.589;0.027;0.027;0.043;0.035;0.188;0.184;0.282;0.224;0.290;0.710;0.694;0.671;0.172;0.568;0.554;0.510;  2.2;  4.9;  4.7;  5.0;0.000;0.000;0.000;0.000;0.000;-1.289;-1.196;-1.297;
22.01.19;13:14:54;9;36;0.0696;0.2034;0.1544;0.2083;0.0809;0.3088;0.2221;0.3074;0.0415;0.1666;0.1224;0.1586;0.139;0.341;0.305;0.322;0.097;0.065;0.111;0.093;0.764;0.594;0.585;0.584;0.031;0.027;0.047;0.039;0.216;0.192;0.298;0.255;0.286;0.741;0.678;0.667;0.171;0.607;0.538;0.508;  2.1;  5.2;  4.6;  4.9;0.000;0.000;0.000;0.000;0.000;-1.448;-1.185;-1.311;
22.01.19;13:15:14;10;36;0.0691;0.2049;0.1549;0.2078;0.0819;0.3025;0.2230;0.3078;0.0417;0.1647;0.1227;0.1588;0.156;0.323;0.305;0.325;0.094;0.077;0.110;0.092;0.751;0.600;0.585;0.583;0.031;0.031;0.047;0.039;0.196;0.227;0.294;0.251;0.318;0.710;0.678;0.671;0.192;0.571;0.537;0.512;  2.4;  4.9;  4.6;  4.9;0.000;0.000;0.000;0.000;0.000;-1.072;-0.962;-1.086;
