Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Fo'1;Fo'2;Y(II)1;Y(II)2;Y(NPQ)1;Y(NPQ)2;Y(NO)1;Y(NO)2;NPQ1;NPQ2;qN1;qN2;qP1;qP2;qL1;qL2;ETR1;ETR2;Abs.1;Abs.2;Inh.1;Inh.2;
22.01.19;13:17:38;1;0;0.2118;0.1902;0.3647;0.3892;0.2118;0.1902;0.419;0.511;0.000;0.000;0.581;0.489;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;  0.0;  0.0;0.000;0.000;0.000;-0.219;
22.01.19;13:18:20;2;36;0.2544;0.2412;0.3686;0.3922;0.2131;0.1909;0.310;0.385;0.000;0.000;0.693;0.617;0.000;0.000;0.000;0.000;0.733;0.749;0.614;0.593;  4.7;  5.8;0.000;0.000;0.000;-0.243;
22.01.19;13:18:40;3;36;0.2603;0.2377;0.3505;0.3745;0.2069;0.1866;0.257;0.365;0.032;0.027;0.711;0.607;0.012;0.012;0.090;0.075;0.627;0.729;0.499;0.573;  3.9;  5.5;0.000;0.000;0.000;-0.419;
22.01.19;13:19:00;4;36;0.2480;0.2324;0.3382;0.3676;0.2026;0.1849;0.267;0.368;0.054;0.037;0.680;0.595;0.020;0.016;0.165;0.106;0.667;0.741;0.544;0.590;  4.0;  5.6;0.000;0.000;0.000;-0.380;
22.01.19;13:19:20;5;36;0.2466;0.2314;0.3294;0.3632;0.1994;0.1838;0.251;0.363;0.073;0.045;0.675;0.592;0.027;0.020;0.212;0.125;0.635;0.733;0.514;0.582;  3.8;  5.5;0.000;0.000;0.000;-0.443;
22.01.19;13:19:40;6;36;0.2422;0.2299;0.3275;0.3574;0.1986;0.1823;0.260;0.357;0.074;0.055;0.666;0.589;0.027;0.024;0.224;0.153;0.663;0.729;0.544;0.578;  3.9;  5.4;0.000;0.000;0.000;-0.369;
22.01.19;13:20:00;7;36;0.2382;0.2270;0.3235;0.3598;0.1972;0.1829;0.264;0.369;0.082;0.046;0.654;0.585;0.031;0.020;0.247;0.141;0.675;0.749;0.558;0.604;  4.0;  5.6;0.000;0.000;0.000;-0.400;
22.01.19;13:20:20;8;36;0.2358;0.2245;0.3181;0.3559;0.1952;0.1819;0.259;0.369;0.093;0.055;0.648;0.576;0.035;0.024;0.275;0.161;0.671;0.757;0.555;0.613;  3.9;  5.6;0.000;0.000;0.000;-0.426;
22.01.19;13:20:40;9;36;0.2358;0.2240;0.3186;0.3539;0.1954;0.1814;0.260;0.367;0.092;0.056;0.648;0.577;0.035;0.024;0.271;0.169;0.671;0.753;0.556;0.610;  3.9;  5.5;0.000;0.000;0.000;-0.412;
22.01.19;13:21:00;10;36;0.2338;0.2240;0.3181;0.3525;0.1952;0.1810;0.265;0.364;0.092;0.062;0.643;0.574;0.035;0.027;0.275;0.176;0.686;0.749;0.573;0.605;  4.0;  5.5;0.000;0.000;0.000;-0.375;
