Date;Time;No.;PAR;F1;F2;F3;Fm'1;Fm'2;Fm'3;Fo'1;Fo'2;Fo'3;Y(II)1;Y(II)2;Y(II)3;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NO)1;Y(NO)2;Y(NO)3;NPQ1;NPQ2;NPQ3;qN1;qN2;qN3;qP1;qP2;qP3;qL1;qL2;qL3;ETR1;ETR2;ETR3;Abs.1;Abs.2;Abs.3;Inh.1;Inh.2;Inh.3;
22.01.19;08:36:08;1;0;0.2314;0.1897;0.2225;0.4525;0.4412;0.4549;0.2314;0.1897;0.2225;0.489;0.570;0.511;0.000;0.000;0.000;0.511;0.430;0.489;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;  0.0;  0.0;  0.0;1.000;1.000;0.000;0.000;-0.167;-0.045;
22.01.19;08:36:50;2;36;0.2946;0.2667;0.2799;0.4534;0.4510;0.4564;0.2316;0.1915;0.2229;0.350;0.409;0.387;0.000;0.000;0.000;0.650;0.597;0.614;0.000;0.000;0.000;0.000;0.000;0.000;0.718;0.710;0.757;0.564;0.510;0.603;  6.3;  7.4;  5.8;1.000;1.000;0.000;0.000;-0.167;-0.104;
22.01.19;08:37:10;3;36;0.3108;0.2681;0.2873;0.4426;0.4382;0.4422;0.2288;0.1892;0.2195;0.298;0.388;0.350;0.012;0.001;0.019;0.690;0.610;0.631;0.004;0.000;0.008;0.043;0.000;0.055;0.616;0.682;0.694;0.453;0.481;0.530;  5.4;  7.0;  5.3;1.000;1.000;0.000;0.000;-0.303;-0.176;
22.01.19;08:37:30;4;36;0.2975;0.2554;0.2730;0.4319;0.4294;0.4348;0.2259;0.1875;0.2176;0.311;0.405;0.372;0.031;0.017;0.028;0.658;0.578;0.600;0.012;0.008;0.012;0.090;0.047;0.086;0.651;0.718;0.745;0.494;0.527;0.594;  5.6;  7.3;  5.6;1.000;1.000;0.000;0.000;-0.303;-0.196;
22.01.19;08:37:50;5;36;0.2873;0.2466;0.2657;0.4216;0.4275;0.4270;0.2230;0.1871;0.2156;0.319;0.423;0.378;0.049;0.018;0.038;0.632;0.559;0.585;0.020;0.008;0.016;0.133;0.055;0.118;0.678;0.753;0.765;0.527;0.571;0.621;  5.7;  7.6;  5.7;1.000;1.000;0.000;0.000;-0.328;-0.186;
22.01.19;08:38:10;6;36;0.2833;0.2436;0.2627;0.4157;0.4221;0.4230;0.2214;0.1861;0.2146;0.318;0.423;0.379;0.058;0.026;0.044;0.624;0.551;0.577;0.024;0.012;0.020;0.161;0.075;0.133;0.682;0.757;0.769;0.533;0.578;0.628;  5.7;  7.6;  5.7;1.000;1.000;0.000;0.000;-0.328;-0.190;
22.01.19;08:38:30;7;36;0.2750;0.2392;0.2578;0.4123;0.4196;0.4167;0.2204;0.1856;0.2130;0.333;0.430;0.381;0.058;0.027;0.053;0.610;0.543;0.566;0.024;0.012;0.024;0.173;0.086;0.157;0.714;0.773;0.780;0.572;0.599;0.645;  6.0;  7.7;  5.8;1.000;1.000;0.000;0.000;-0.291;-0.145;
22.01.19;08:38:50;8;36;0.2691;0.2353;0.2534;0.4064;0.4162;0.4103;0.2187;0.1849;0.2113;0.338;0.435;0.382;0.066;0.032;0.061;0.597;0.533;0.557;0.027;0.016;0.027;0.196;0.098;0.184;0.729;0.780;0.788;0.593;0.613;0.657;  6.1;  7.8;  5.8;1.000;1.000;0.000;0.000;-0.287;-0.132;
22.01.19;08:39:10;9;36;0.2676;0.2353;0.2525;0.3995;0.4137;0.4074;0.2167;0.1844;0.2105;0.330;0.431;0.380;0.076;0.034;0.063;0.594;0.535;0.557;0.031;0.016;0.027;0.224;0.106;0.196;0.722;0.776;0.788;0.584;0.609;0.657;  5.9;  7.8;  5.7;1.000;1.000;0.000;0.000;-0.307;-0.152;
22.01.19;08:39:30;10;36;0.2618;0.2299;0.2471;0.3946;0.4108;0.4000;0.2152;0.1839;0.2085;0.337;0.440;0.382;0.083;0.039;0.076;0.580;0.520;0.542;0.035;0.020;0.035;0.243;0.118;0.224;0.741;0.796;0.800;0.609;0.637;0.675;  6.1;  7.9;  5.8;1.000;1.000;0.000;0.000;-0.308;-0.136;
