Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
21.01.19;15:12:35;1;0;0.1108;0.2618;0.1108;0.577;0.000;0.423;0.000;0.000;1.000;1.000;  0.0;0.000;0.000;
21.01.19;15:13:17;2;36;0.1877;0.2672;0.1117;0.297;0.000;0.707;0.000;0.000;0.510;0.303;  4.5;0.000;0.000;
21.01.19;15:13:37;3;36;0.1971;0.2554;0.1096;0.228;0.004;0.767;0.000;0.000;0.400;0.223;  3.5;0.000;0.000;
21.01.19;15:13:57;4;36;0.1853;0.2510;0.1088;0.262;0.033;0.706;0.012;0.071;0.463;0.272;  4.0;0.000;0.000;
21.01.19;15:14:17;5;36;0.1789;0.2441;0.1075;0.267;0.053;0.680;0.020;0.114;0.478;0.287;  4.0;0.000;0.000;
21.01.19;15:14:37;6;36;0.1696;0.2441;0.1075;0.305;0.049;0.645;0.020;0.114;0.545;0.345;  4.6;0.000;0.000;
21.01.19;15:14:57;7;36;0.1662;0.2436;0.1074;0.318;0.049;0.633;0.020;0.118;0.569;0.368;  4.8;0.000;0.000;
21.01.19;15:15:17;8;36;0.1676;0.2441;0.1075;0.313;0.049;0.638;0.020;0.114;0.561;0.360;  4.7;0.000;0.000;
21.01.19;15:15:37;9;36;0.1618;0.2436;0.1074;0.336;0.047;0.617;0.020;0.118;0.600;0.398;  5.1;0.000;0.000;
21.01.19;15:15:58;10;36;0.1603;0.2417;0.1070;0.337;0.049;0.614;0.020;0.129;0.604;0.403;  5.1;0.000;0.000;
21.01.19;15:16:17;11;36;0.1574;0.2382;0.1063;0.340;0.057;0.603;0.024;0.153;0.612;0.413;  5.1;0.000;0.000;
21.01.19;15:16:37;12;36;0.1578;0.2407;0.1068;0.344;0.055;0.600;0.024;0.137;0.620;0.419;  5.2;0.000;0.000;
21.01.19;15:16:57;13;36;0.1554;0.2382;0.1063;0.348;0.057;0.595;0.024;0.153;0.627;0.429;  5.3;0.000;0.000;
21.01.19;15:17:18;14;36;0.1574;0.2402;0.1067;0.345;0.055;0.600;0.024;0.137;0.620;0.420;  5.2;0.000;0.000;
21.01.19;15:17:38;15;36;0.1525;0.2407;0.1068;0.367;0.053;0.580;0.024;0.137;0.659;0.462;  5.5;0.000;0.000;
