Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,m1,m2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,16:15:41,1,0,0.273,0.2,0.4623,0.3069,0.273,0.2,0.409474367,0.348321929,0,0,0.409,0.348,0,0,0.591,0.652,0,0,0,0,1,1,1,1,0,0,1,1,0,0.149
18.01.19,16:15:52,2,1,0.2784,0.1941,0.4588,0.3074,0.2718,0.2002,0.393199651,0.368575146,0.393199651,0.368575146,0.393,0.368,0.002,0,0.605,0.652,0,0,0,0,0.965,1,0.942,1,0.2,0.2,1,1,0,0.063
18.01.19,16:16:02,3,11,0.2858,0.201,0.4544,0.3074,0.2703,0.2002,0.371038732,0.346128822,4.081426056,3.807417046,0.371,0.346,0.004,0,0.624,0.654,0,0,0,0,0.918,0.992,0.868,0.988,2,1.9,1,1,0,0.067
18.01.19,16:16:12,4,21,0.2926,0.2005,0.4289,0.301,0.2611,0.1975,0.317789695,0.333887043,6.673583586,7.011627907,0.318,0.334,0.049,0.005,0.633,0.661,0.02,0,0.165,0,0.812,0.973,0.724,0.958,3.3,3.5,1,1,0,-0.051
18.01.19,16:16:23,5,36,0.2961,0.2049,0.4103,0.2926,0.254,0.1939,0.278332927,0.299726589,10.01998538,10.79015721,0.278,0.3,0.08,0.032,0.641,0.668,0.031,0.012,0.251,0.125,0.729,0.89,0.626,0.842,5,5.4,1,1,0,-0.077
18.01.19,16:16:32,6,81,0.3108,0.2123,0.3775,0.2775,0.241,0.1871,0.176688742,0.234954955,14.31178808,19.03135135,0.177,0.235,0.149,0.075,0.674,0.69,0.055,0.027,0.384,0.247,0.49,0.722,0.38,0.636,7.2,9.5,1,1,0,-0.33
18.01.19,16:16:42,7,146,0.3162,0.2181,0.3554,0.2578,0.2319,0.178,0.110298255,0.153995345,16.1035453,22.4833204,0.11,0.154,0.204,0.134,0.685,0.712,0.075,0.047,0.463,0.38,0.318,0.498,0.233,0.406,8.1,11.2,1,1,0,-0.396
18.01.19,16:16:52,8,281,0.3181,0.223,0.3382,0.2441,0.2244,0.1713,0.059432289,0.086439984,16.70047309,24.2896354,0.059,0.086,0.25,0.184,0.691,0.73,0.09,0.063,0.522,0.463,0.176,0.29,0.124,0.223,8.3,12.1,1,1,0,-0.453
18.01.19,16:17:02,9,611,0.3074,0.2167,0.3118,0.2235,0.2125,0.1609,0.01411161,0.030425056,8.622193714,18.58970917,0.014,0.031,0.313,0.243,0.673,0.726,0.122,0.094,0.604,0.573,0,0,0,0,4.3,9.4,1,1,0,-1.17
18.01.19,16:17:12,10,926,0.2907,0.2039,0.2922,0.2064,0.2032,0.1518,0.00513347,0.012112403,4.753593429,11.21608527,0,0,0.367,0.327,0.633,0.673,0.145,0.122,0.655,0.647,0,0,0,0,0,0,1,1,0,0
18.01.19,16:17:22,11,1251,0.273,0.1877,0.2735,0.1902,0.194,0.1429,0.001828154,0.013144059,2.28702011,16.44321767,0,0,0.408,0.38,0.592,0.62,0.173,0.153,0.702,0.71,0,0,0,0,0,0,1,1,0,0
