Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,rETR1,rETR2,rETR3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,16:10:48,1,0,0.3108,0.2706,0.274,0.475,0.4485,0.4324,0.3108,0.2706,0.274,0.345684211,0.396655518,0.366327475,0.346,0.397,0.366,0,0,0,0.654,0.603,0.634,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,-0.148,-0.059
18.01.19,16:10:59,2,1,0.3142,0.2755,0.2799,0.5814,0.5515,0.5299,0.353,0.3049,0.3102,0.459580323,0.500453309,0.47178713,0.46,0.5,0.472,0,0,0,0.654,0.603,0.634,0,0,0,0,0,0,1,1,1,1,1,1,0.459580323,0.500453309,0.47178713,0.2,0.3,0.2,1,1,1,0,-0.089,-0.027
18.01.19,16:11:09,3,11,0.3176,0.275,0.2824,0.4735,0.4377,0.4216,0.3102,0.2666,0.2696,0.329250264,0.371715787,0.330170778,0.329,0.372,0.33,0,0.018,0.019,0.67,0.61,0.65,0,0.008,0.008,0,0.059,0.067,0.953,0.953,0.918,0.93,0.924,0.876,3.621752904,4.088873658,3.631878558,1.8,2,1.8,1,1,1,0,-0.129,-0.003
18.01.19,16:11:19,4,21,0.3216,0.2819,0.2819,0.4574,0.424,0.4074,0.3031,0.2615,0.2638,0.296895496,0.335141509,0.308051055,0.297,0.335,0.308,0.023,0.038,0.041,0.68,0.626,0.651,0.008,0.016,0.016,0.102,0.129,0.149,0.882,0.875,0.875,0.832,0.811,0.818,6.234805422,7.037971698,6.469072165,3.1,3.5,3.2,1,1,1,0,-0.129,-0.038
18.01.19,16:11:29,5,36,0.3235,0.2848,0.2809,0.4471,0.4108,0.3912,0.2986,0.2564,0.2569,0.276448222,0.306718598,0.281952965,0.276,0.307,0.282,0.043,0.059,0.07,0.681,0.634,0.648,0.016,0.024,0.027,0.157,0.196,0.235,0.831,0.816,0.82,0.767,0.734,0.75,9.952135987,11.04186952,10.15030675,5,5.5,5.1,1,1,1,0,-0.11,-0.02
18.01.19,16:11:39,6,81,0.3387,0.2995,0.2873,0.4265,0.3887,0.3667,0.2892,0.2476,0.2461,0.205861665,0.229482892,0.21652577,0.206,0.23,0.217,0.079,0.104,0.116,0.715,0.667,0.667,0.027,0.039,0.043,0.263,0.298,0.353,0.639,0.631,0.659,0.546,0.522,0.564,16.67479484,18.58811423,17.5385874,8.3,9.3,8.8,1,1,1,0,-0.115,-0.053
18.01.19,16:11:49,7,146,0.3475,0.3088,0.2941,0.4034,0.3662,0.3456,0.2785,0.2383,0.2364,0.138572137,0.156744948,0.149016204,0.139,0.157,0.149,0.127,0.152,0.171,0.734,0.691,0.68,0.043,0.055,0.063,0.365,0.392,0.443,0.447,0.447,0.471,0.358,0.345,0.378,20.23153198,22.88476242,21.75636574,10.1,11.4,10.9,1,1,1,0,-0.131,-0.075
18.01.19,16:11:59,8,281,0.3529,0.3172,0.301,0.3799,0.3466,0.324,0.267,0.2298,0.2261,0.071071335,0.084824005,0.070987654,0.071,0.085,0.071,0.186,0.21,0.23,0.743,0.705,0.699,0.063,0.075,0.082,0.459,0.467,0.525,0.239,0.251,0.235,0.181,0.182,0.177,19.97104501,23.8355453,19.94753086,10,11.9,10,1,1,1,0,-0.196,-0.002
18.01.19,16:12:09,9,611,0.3338,0.3088,0.2917,0.3446,0.3167,0.2985,0.2491,0.2163,0.2134,0.031340685,0.024944743,0.02278057,0.031,0.025,0.023,0.265,0.273,0.29,0.704,0.702,0.687,0.094,0.106,0.114,0.576,0.569,0.612,0.114,0,0,0.085,0,0,19.14915844,15.24123776,13.91892797,9.6,7.6,7,1,1,1,0,0.209,0.265
18.01.19,16:12:19,10,926,0.3123,0.2892,0.2696,0.3137,0.2922,0.2721,0.2326,0.2045,0.1995,0.004462863,0.01026694,0.009187799,0,0,0,0.341,0.348,0.373,0.659,0.652,0.627,0.129,0.133,0.149,0.667,0.639,0.69,0,0,0,0,0,0,4.132610775,9.507186858,8.507901507,0,0,0,1,1,1,0,0,0
18.01.19,16:12:29,11,1251,0.2819,0.2632,0.2461,0.2931,0.2701,0.2525,0.2211,0.1935,0.1888,0.038212214,0.025546094,0.025346535,0.038,0.025,0.025,0.371,0.372,0.389,0.591,0.603,0.586,0.157,0.165,0.176,0.718,0.698,0.737,0.157,0,0,0.123,0,0,47.80348004,31.95816364,31.70851485,24.1,15.9,15.8,1,1,1,0,0.339,0.344
