Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,m1,m2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2,effective yeild,effective yeild2,rETR1,rETR2
18.01.19,16:05:59,1,0,0.3172,0.2618,0.5137,0.5132,0.3172,0.2618,0.38251898,0.489867498,0,0,0.383,0.49,0,0,0.617,0.51,0,0,0,0,1,1,1,1,0,0,1,1,0,-0.281,0.38251898,0.489867498,0,0
18.01.19,16:06:10,2,1,0.3176,0.2696,0.5142,0.5113,0.3173,0.2613,0.382341501,0.472716605,0.382341501,0.472716605,0.382,0.473,0,0,0.618,0.527,0,0,0,0,1,0.965,0.999,0.935,0.2,0.2,1,1,0,-0.236,0.382341501,0.472716605,0.382341501,0.472716605
18.01.19,16:06:20,3,11,0.3216,0.2819,0.5127,0.5181,0.3168,0.263,0.372732592,0.455896545,4.100058514,5.014861996,0.373,0.456,0.001,0,0.626,0.547,0,0,0,0,0.976,0.925,0.962,0.864,2.1,2.5,1,1,0,-0.223,0.372732592,0.455896545,4.100058514,5.014861996
18.01.19,16:06:30,4,21,0.3314,0.2917,0.5108,0.5118,0.316,0.2614,0.351213782,0.430050801,7.375489428,9.031066823,0.351,0.43,0.001,0.001,0.647,0.569,0,0,0,0,0.922,0.878,0.879,0.787,3.7,4.5,1,1,0,-0.224,0.351213782,0.430050801,7.375489428,9.031066823
18.01.19,16:06:40,5,36,0.3358,0.3083,0.4995,0.5069,0.3117,0.2601,0.327727728,0.391793253,11.7981982,14.10455711,0.328,0.392,0.02,0.003,0.653,0.606,0.008,0,0.071,0,0.871,0.804,0.808,0.678,5.9,7.1,1,1,0,-0.195,0.327727728,0.391793253,11.7981982,14.10455711
18.01.19,16:06:50,6,81,0.3598,0.3676,0.4833,0.4956,0.3053,0.2571,0.255534864,0.258272801,20.69832402,20.92009685,0.256,0.258,0.044,0.024,0.7,0.718,0.016,0.008,0.145,0.071,0.694,0.537,0.589,0.376,10.4,10.5,1,1,0,-0.01,0.255534864,0.258272801,20.69832402,20.92009685
18.01.19,16:07:00,7,146,0.3775,0.4088,0.4672,0.4814,0.2988,0.2532,0.191994863,0.150810137,28.03125,22.01828002,0.192,0.151,0.07,0.05,0.738,0.799,0.024,0.016,0.216,0.122,0.533,0.318,0.422,0.197,14,11,1,1,0,0.215,0.191994863,0.150810137,28.03125,22.01828002
18.01.19,16:07:10,8,281,0.3917,0.4289,0.4431,0.4618,0.2888,0.2477,0.116000903,0.071242962,32.59625367,20.01927241,0.116,0.071,0.12,0.092,0.764,0.837,0.039,0.027,0.314,0.192,0.333,0.153,0.246,0.088,16.3,10,1,1,0,0.388,0.116000903,0.071242962,32.59625367,20.01927241
18.01.19,16:07:20,9,611,0.3907,0.423,0.4157,0.4387,0.2768,0.2409,0.060139524,0.035787554,36.74524898,21.86619558,0.06,0.036,0.179,0.142,0.761,0.823,0.059,0.043,0.416,0.275,0.18,0.078,0.128,0.045,18.4,10.9,1,1,0,0.405,0.060139524,0.035787554,36.74524898,21.86619558
18.01.19,16:07:30,10,926,0.373,0.4083,0.3853,0.4142,0.263,0.2333,0.031923177,0.014244326,29.56086167,13.19024626,0.032,0.014,0.24,0.176,0.728,0.81,0.082,0.059,0.514,0.353,0.102,0,0.072,0,14.7,6.6,1,1,0,0.554,0.031923177,0.014244326,29.56086167,13.19024626
18.01.19,16:07:40,11,1251,0.3461,0.377,0.3515,0.3819,0.2468,0.2227,0.015362731,0.012830584,19.21877667,16.05106049,0.015,0.013,0.297,0.244,0.687,0.743,0.114,0.086,0.608,0.451,0,0,0,0,9.6,8,1,1,0,0.163,0.015362731,0.012830584,19.21877667,16.05106049
