Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:18:33,1,0,0.2221,0.2206,0.2118,0.3912,0.4907,0.3681,0.2221,0.2206,0.2118,0.432259714,0.55043815,0.424612877,0,0,0,0.432,0.55,0.425,0,0,0,0.568,0.45,0.575,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.273,0.017
18.01.19,15:18:44,2,1,0.224,0.225,0.2113,0.3873,0.4897,0.3632,0.2208,0.2204,0.2101,0.421636974,0.540535021,0.418226872,0.421636974,0.540535021,0.418226872,0.422,0.541,0.418,0.002,0.001,0.003,0.576,0.459,0.578,0,0,0,0,0,0,0.98,0.984,0.992,0.966,0.964,0.987,0.2,0.3,0.2,1,1,1,0,-0.282,0.008
18.01.19,15:18:54,3,11,0.2422,0.2564,0.2328,0.3971,0.4912,0.3725,0.2239,0.2207,0.2132,0.390078066,0.478013029,0.375033557,4.290858726,5.258143322,4.125369128,0.39,0.478,0.375,0,0,0,0.614,0.523,0.627,0,0,0,0,0,0,0.894,0.867,0.878,0.827,0.746,0.804,2.1,2.6,2.1,1,1,1,0,-0.225,0.039
18.01.19,15:19:04,4,21,0.2667,0.2956,0.2539,0.3907,0.4828,0.3637,0.2219,0.219,0.2103,0.317379063,0.387738194,0.301897168,6.664960328,8.142502071,6.339840528,0.317,0.388,0.302,0,0.004,0.002,0.683,0.608,0.696,0,0,0,0,0,0,0.733,0.71,0.714,0.61,0.526,0.591,3.3,4.1,3.2,1,1,1,0,-0.222,0.049
18.01.19,15:19:14,5,36,0.2755,0.3142,0.2627,0.3892,0.477,0.3618,0.2214,0.2178,0.2096,0.292137718,0.34129979,0.273908237,10.51695786,12.28679245,9.860696517,0.292,0.341,0.274,0.001,0.019,0.004,0.707,0.639,0.723,0,0.008,0,0,0.051,0,0.678,0.627,0.651,0.545,0.435,0.519,5.3,6.1,4.9,1,1,1,0,-0.168,0.063
18.01.19,15:19:24,6,81,0.3098,0.375,0.2941,0.3814,0.4686,0.3569,0.2189,0.216,0.208,0.187729418,0.199743918,0.175959653,15.20608285,16.17925736,14.25273186,0.188,0.2,0.176,0.024,0.037,0.024,0.789,0.763,0.8,0.008,0.012,0.008,0.059,0.078,0.071,0.439,0.373,0.42,0.31,0.215,0.297,7.6,8.1,7.1,1,1,1,0,-0.065,0.063
18.01.19,15:19:34,7,146,0.3299,0.4118,0.3113,0.3725,0.4569,0.3475,0.2159,0.2135,0.2048,0.114362416,0.098708689,0.104172662,16.69691275,14.41146859,15.20920863,0.114,0.099,0.104,0.039,0.065,0.053,0.846,0.837,0.843,0.012,0.02,0.016,0.106,0.122,0.125,0.271,0.184,0.255,0.177,0.096,0.168,8.4,7.2,7.6,1,1,1,0,0.138,0.088
18.01.19,15:19:44,8,281,0.3377,0.4245,0.3181,0.3603,0.4456,0.3373,0.2118,0.211,0.2012,0.062725507,0.047351885,0.056922621,17.62586733,13.30587971,15.99525645,0.063,0.047,0.057,0.069,0.082,0.081,0.868,0.87,0.862,0.02,0.024,0.024,0.173,0.161,0.184,0.153,0.09,0.141,0.096,0.045,0.089,8.8,6.6,8,1,1,1,0,0.244,0.094
18.01.19,15:19:54,9,611,0.3373,0.4245,0.3172,0.3422,0.423,0.3201,0.2054,0.2058,0.1949,0.014319112,-0.003546099,0.009059669,8.748977206,-2.166666667,5.535457669,0.014,0,0,0.109,0.136,0.136,0.876,0.864,0.864,0.035,0.039,0.039,0.263,0.239,0.278,0,0,0,0,0,0,4.4,0,0,1,1,1,0,1,1
18.01.19,15:20:04,10,926,0.3172,0.4015,0.299,0.3225,0.4049,0.3034,0.1981,0.2014,0.1886,0.016434109,0.008397135,0.014502307,15.2179845,7.775747098,13.42913645,0.017,0,0.015,0.163,0.18,0.166,0.82,0.82,0.82,0.055,0.055,0.055,0.357,0.298,0.361,0,0,0,0,0,0,7.7,0,6.7,1,1,1,0,1,0.13
18.01.19,15:20:14,11,1251,0.2961,0.376,0.2775,0.3,0.3794,0.2824,0.1894,0.1949,0.1803,0.013,0.008961518,0.017351275,16.263,11.21085925,21.70644476,0,0,0.017,0.23,0.23,0.212,0.77,0.77,0.77,0.075,0.075,0.075,0.451,0.376,0.455,0,0,0,0,0,0,0,0,10.9,1,1,1,0,0,0
