Date,Time,No.,PAR,F1,Fm'1,Fo'1,EY1,m1,Y(II)1,Y(NPQ)1,Y(NO)1,NPQ1,qN1,qP1,qL1,ETR1,Abs.1,Inh.1
18.01.19,15:04:28,1,0,0.2255,0.4882,0.2255,0.53809914,0,0.538,0,0.462,0,0,1,1,0,1,0
18.01.19,15:04:39,2,1,0.2343,0.4828,0.2243,0.514705882,0.514705882,0.515,0.003,0.483,0,0,0.961,0.92,0.3,1,0
18.01.19,15:04:49,3,11,0.2495,0.4735,0.2223,0.473072862,5.203801478,0.473,0.016,0.511,0.008,0.055,0.89,0.793,2.6,1,0
18.01.19,15:04:59,4,21,0.2716,0.4623,0.2198,0.412502704,8.662556781,0.413,0.034,0.554,0.016,0.098,0.788,0.638,4.3,1,0
18.01.19,15:05:09,5,36,0.2848,0.4525,0.2175,0.370607735,13.34187845,0.371,0.046,0.584,0.02,0.133,0.714,0.545,6.7,1,0
18.01.19,15:05:19,6,81,0.3377,0.4358,0.2136,0.225103258,18.23336393,0.225,0.086,0.689,0.031,0.192,0.443,0.28,9.1,1,0
18.01.19,15:05:29,7,146,0.3564,0.4201,0.2098,0.151630564,22.13806237,0.152,0.115,0.733,0.039,0.243,0.302,0.178,11.1,1,0
18.01.19,15:05:39,8,281,0.3799,0.4083,0.2068,0.069556699,19.54543228,0.07,0.148,0.783,0.047,0.282,0.141,0.077,9.8,1,0
18.01.19,15:05:49,9,611,0.376,0.3858,0.2009,0.025401763,15.52047693,0.025,0.206,0.769,0.067,0.357,0.055,0.029,7.8,1,0
18.01.19,15:05:59,10,926,0.3627,0.3696,0.1964,0.018668831,17.28733766,0.019,0.22,0.761,0.078,0.408,0,0,8.6,1,0
18.01.19,15:06:09,11,1251,0.3446,0.3441,0.1889,-0.001453066,-1.817785527,0,0.298,0.702,0.106,0.482,0,0,0,1,0
