Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Y(II)1,Y(II)2,Y(II)3
23.01.19,15:48:01,1,0,0.2279,0.2279,0.2049,0.4167,0.4417,0.3618,0.453,0.484,0.434
23.01.19,15:48:12,2,2,0.2314,0.2319,0.2078,0.4113,0.4343,0.3554,0.437,0.466,0.415
23.01.19,15:48:22,3,12,0.2451,0.2422,0.225,0.3779,0.4083,0.3431,0.351,0.407,0.344
23.01.19,15:48:32,4,22,0.2451,0.2505,0.2333,0.348,0.375,0.325,0.296,0.332,0.282
23.01.19,15:48:42,5,37,0.2475,0.2495,0.2363,0.3328,0.3525,0.3123,0.256,0.292,0.243
23.01.19,15:48:52,6,82,0.2686,0.2681,0.2554,0.3176,0.3284,0.2951,0.154,0.184,0.135
23.01.19,15:49:02,7,147,0.2824,0.2809,0.2657,0.3069,0.3142,0.2863,0.08,0.106,0.072
23.01.19,15:49:12,8,337,0.2853,0.2848,0.2681,0.2961,0.2985,0.276,0.036,0.046,0.028
23.01.19,15:49:22,9,612,0.2853,0.2824,0.2672,0.2833,0.2833,0.2652,0,0,0
23.01.19,15:49:32,10,927,0.2711,0.2686,0.2525,0.2691,0.2686,0.25,0,0,0
23.01.19,15:49:42,11,1252,0.2559,0.2549,0.2377,0.2549,0.2549,0.2368,0,0,0
