Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t12.1,t12.2,t12.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,15:08:48,1,0,0.2431,0.2431,0.2701,0.4039,0.4049,0.4039,0.2431,0.2431,0.2701,0.398118346,0.399604841,0.331270116,0,0,0,0.398,0.4,0.331,0,0,0,0.602,0.6,0.669,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.004,0.168
18.01.19,15:08:59,2,2,0.2382,0.2363,0.2672,0.4049,0.4034,0.4015,0.2435,0.2426,0.269,0.411706594,0.414229053,0.334495641,0.823413188,0.828458106,0.668991283,0.412,0.414,0.335,0,0,0,0.602,0.6,0.669,0,0,0,0,0,0,1,1,1,1,1,1,0.4,0.4,0.3,1,1,1,0,-0.007,0.187
18.01.19,15:09:09,3,12,0.2554,0.2525,0.2794,0.4064,0.4059,0.4074,0.244,0.2435,0.2716,0.371555118,0.377925597,0.314187531,4.458661417,4.535107169,3.770250368,0.372,0.378,0.314,0,0,0,0.63,0.622,0.688,0,0,0,0,0,0,0.929,0.945,0.941,0.888,0.912,0.915,2.2,2.3,1.9,1,1,1,0,-0.017,0.155
18.01.19,15:09:19,4,22,0.2691,0.2711,0.2897,0.3995,0.3995,0.401,0.2415,0.2412,0.2688,0.32640801,0.321401752,0.27755611,7.18097622,7.070838548,6.106234414,0.326,0.321,0.278,0.002,0.003,0.002,0.672,0.675,0.721,0,0,0,0,0,0,0.824,0.812,0.843,0.739,0.722,0.782,3.6,3.5,3.1,1,1,1,0,0.015,0.15
18.01.19,15:09:29,5,37,0.2775,0.2779,0.2892,0.3917,0.3907,0.3877,0.2386,0.2379,0.2628,0.291549655,0.288712567,0.254062419,10.78733725,10.68236499,9.400309518,0.292,0.289,0.254,0.021,0.022,0.033,0.687,0.689,0.713,0.008,0.008,0.012,0.075,0.086,0.114,0.745,0.737,0.788,0.641,0.631,0.716,5.4,5.3,4.7,1,1,1,0,0.01,0.129
18.01.19,15:09:39,6,82,0.3078,0.3088,0.3044,0.3814,0.3794,0.3721,0.2348,0.2337,0.2555,0.192973256,0.186083289,0.181940339,15.82380703,15.25882973,14.91910777,0.193,0.186,0.182,0.047,0.049,0.06,0.76,0.765,0.758,0.016,0.016,0.02,0.133,0.149,0.216,0.502,0.486,0.58,0.383,0.368,0.487,7.9,7.6,7.5,1,1,1,0,0.035,0.057
18.01.19,15:09:49,7,147,0.327,0.3294,0.3118,0.3725,0.3706,0.351,0.2314,0.2303,0.2454,0.122147651,0.111171074,0.111680912,17.9557047,16.34214787,16.41709402,0.122,0.111,0.112,0.064,0.077,0.12,0.814,0.812,0.768,0.02,0.024,0.039,0.18,0.196,0.333,0.322,0.294,0.373,0.228,0.206,0.293,9,8.2,8.2,1,1,1,0,0.092,0.087
18.01.19,15:09:59,8,282,0.3358,0.3363,0.3147,0.3598,0.3564,0.3324,0.2264,0.2248,0.2361,0.066703724,0.056397306,0.053249097,18.81045025,15.9040404,15.01624549,0.067,0.056,0.053,0.104,0.117,0.171,0.829,0.827,0.776,0.031,0.035,0.055,0.247,0.271,0.427,0.18,0.153,0.184,0.122,0.102,0.138,9.4,8,7.5,1,1,1,0,0.155,0.205
18.01.19,15:10:09,9,612,0.3338,0.3324,0.3118,0.3426,0.3412,0.3181,0.2195,0.2186,0.2288,0.025685931,0.025791325,0.019805093,15.71978984,15.78429074,12.12071676,0.026,0.026,0.02,0.143,0.154,0.19,0.831,0.82,0.789,0.043,0.047,0.067,0.333,0.341,0.49,0.071,0.071,0,0.046,0.046,0,7.9,7.9,6.1,1,1,1,0,-0.004,0.222
18.01.19,15:10:19,10,927,0.3201,0.3186,0.2936,0.3265,0.3235,0.299,0.2128,0.2112,0.2188,0.019601838,0.015146832,0.018060201,18.17090352,14.04111283,16.74180602,0.02,0.015,0.018,0.171,0.185,0.239,0.81,0.799,0.743,0.059,0.063,0.086,0.404,0.42,0.565,0,0,0,0,0,0,9,7,8.4,1,1,1,0,0.224,0.076
18.01.19,15:10:29,11,1252,0.301,0.3044,0.2784,0.3069,0.3064,0.2794,0.2042,0.2038,0.2081,0.019224503,0.006527415,0.003579098,24.06907788,8.17232376,4.48103078,0.019,0,0,0.22,0.248,0.305,0.761,0.752,0.695,0.078,0.082,0.11,0.486,0.49,0.635,0,0,0,0,0,0,12,0,0,1,1,1,0,1,1
