Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,t16.1,t16.2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,13:56:35,1,0,0.1961,0.1113,0.3804,0.2108,0.1961,0.1113,0.484490011,0.472011385,0,0,0.485,0.472,0,0,0.515,0.528,0,0,0,0,1,1,1,1,0,0,0,0,0,0.026
18.01.19,13:56:46,2,1,0.1975,0.1103,0.3765,0.2044,0.195,0.1095,0.475431607,0.46037182,0.475431607,0.46037182,0.475,0.46,0.002,0.008,0.523,0.532,0,0,0,0,0.984,0.992,0.972,0.985,0.2,0.2,0,0,0,0.031
18.01.19,13:56:57,3,11,0.2083,0.1137,0.3627,0.1828,0.1913,0.103,0.425696168,0.378008753,4.682657844,4.15809628,0.426,0.378,0.027,0.084,0.548,0.538,0.012,0.039,0.094,0.259,0.902,0.867,0.828,0.785,2,1.7,0,0,0,0.112
18.01.19,13:57:07,4,21,0.2098,0.1103,0.3093,0.1544,0.1753,0.0933,0.321694148,0.285621762,6.75557711,5.998056995,0.322,0.286,0.128,0.19,0.55,0.524,0.059,0.09,0.345,0.478,0.741,0.722,0.619,0.61,2.8,2.5,0,0,0,0.112
18.01.19,13:57:17,5,36,0.1951,0.1069,0.2618,0.1436,0.1589,0.0892,0.254774637,0.255571031,9.171886937,9.200557103,0.255,0.256,0.233,0.238,0.513,0.506,0.114,0.118,0.537,0.553,0.647,0.675,0.527,0.563,3.9,3.9,0,0,0,-0.005
18.01.19,13:57:27,6,81,0.1985,0.1093,0.2304,0.1314,0.1468,0.0844,0.138454861,0.168188737,11.21484375,13.62328767,0.138,0.168,0.342,0.316,0.52,0.516,0.165,0.153,0.643,0.627,0.38,0.471,0.281,0.363,4.7,5.7,0,0,0,-0.214
18.01.19,13:57:37,7,146,0.1956,0.1142,0.2152,0.1255,0.1405,0.0819,0.091078067,0.090039841,13.29739777,13.14581673,0.091,0.09,0.395,0.367,0.514,0.543,0.192,0.169,0.69,0.663,0.263,0.259,0.189,0.186,5.6,5.5,0,0,0,0.014
18.01.19,13:57:47,8,281,0.1926,0.1147,0.2005,0.1225,0.1341,0.0806,0.039401496,0.063673469,11.07182045,17.8922449,0.039,0.064,0.433,0.355,0.528,0.581,0.224,0.18,0.729,0.678,0,0,0,0,4.6,7.6,0,0,0,-0.636
18.01.19,13:57:57,9,611,0.1863,0.1157,0.1912,0.1186,0.1298,0.0789,0.025627615,0.024451939,15.6584728,14.94013491,0.026,0,0.471,0.44,0.503,0.56,0.247,0.196,0.757,0.698,0,0,0,0,6.6,0,0,0,0,1
18.01.19,13:58:07,10,926,0.1789,0.1123,0.1814,0.1142,0.1252,0.0769,0.013781698,0.016637478,12.76185226,15.40630473,0,0,0.523,0.459,0.477,0.541,0.275,0.212,0.78,0.722,0,0,0,0,0,0,0,0,0,0
18.01.19,13:58:17,11,1251,0.1721,0.1083,0.1706,0.1083,0.12,0.0742,-0.008792497,0,-10.99941383,0,0,0,0.55,0.485,0.45,0.515,0.306,0.235,0.804,0.749,0,0,0,0,0,0,0,0,0,0
