Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
23.01.19,13:26:04,1,0,0.1745,0.226,0.2054,0.2618,0.351,0.299,0.1745,0.226,0.2054,0.333,0.356,0.313,0,0,0,0.667,0.644,0.687,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,-0.068,0.061
23.01.19,13:26:15,2,2,0.1745,0.223,0.2,0.2544,0.3456,0.2882,0.1712,0.2237,0.2002,0.314,0.355,0.306,0.006,0.002,0.021,0.68,0.644,0.672,0,0,0.008,0,0,0.11,0.961,1,1,0.943,1,1,0.3,0.4,0.3,1,1,1,0,-0.129,0.025
23.01.19,13:26:25,3,12,0.1775,0.2255,0.1985,0.2485,0.3382,0.2779,0.1685,0.2206,0.1952,0.286,0.333,0.286,0.034,0.021,0.052,0.68,0.645,0.663,0.012,0.008,0.02,0.141,0.098,0.204,0.89,0.957,0.961,0.845,0.936,0.945,1.7,2,1.7,1,1,1,0,-0.166,0.001
23.01.19,13:26:35,4,22,0.1779,0.2245,0.1936,0.2407,0.3235,0.2603,0.1649,0.2143,0.1863,0.261,0.306,0.256,0.062,0.052,0.093,0.677,0.642,0.651,0.024,0.02,0.035,0.216,0.2,0.345,0.827,0.906,0.902,0.767,0.865,0.868,2.9,3.4,2.8,1,1,1,0,-0.174,0.018
23.01.19,13:26:45,5,37,0.1765,0.2216,0.1882,0.2324,0.3078,0.2431,0.1609,0.2073,0.1774,0.241,0.28,0.226,0.085,0.089,0.147,0.674,0.631,0.627,0.031,0.035,0.059,0.29,0.302,0.459,0.784,0.859,0.835,0.715,0.803,0.787,4.4,5.2,4.2,1,1,1,0,-0.165,0.061
23.01.19,13:26:55,6,82,0.1765,0.2123,0.1794,0.2127,0.2716,0.2137,0.1513,0.1902,0.1612,0.171,0.218,0.161,0.157,0.179,0.237,0.672,0.603,0.602,0.059,0.075,0.098,0.443,0.494,0.62,0.588,0.729,0.655,0.504,0.654,0.588,7,9,6.6,1,1,1,0,-0.281,0.058
23.01.19,13:27:05,7,147,0.1765,0.2127,0.1735,0.1961,0.2461,0.1922,0.1427,0.1773,0.1486,0.1,0.135,0.097,0.224,0.258,0.32,0.676,0.607,0.583,0.082,0.106,0.137,0.553,0.604,0.71,0.369,0.486,0.427,0.298,0.405,0.366,7.4,10,7.1,1,1,1,0,-0.355,0.031
23.01.19,13:27:15,8,337,0.177,0.2186,0.1701,0.1809,0.2294,0.175,0.1344,0.1685,0.1381,0,0.047,0.028,0.313,0.331,0.386,0.687,0.622,0.586,0.114,0.133,0.176,0.635,0.667,0.773,0,0.176,0,0,0.136,0,0,7.9,4.7,1,1,1,0,0,0
23.01.19,13:27:25,9,612,0.1691,0.2083,0.1613,0.1686,0.2113,0.1618,0.1275,0.1585,0.1298,0,0,0,0.354,0.397,0.459,0.646,0.603,0.541,0.137,0.165,0.212,0.694,0.725,0.812,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23.01.19,13:27:35,10,927,0.1583,0.1951,0.151,0.1564,0.1975,0.1495,0.1204,0.1506,0.1218,0,0,0,0.403,0.44,0.501,0.597,0.56,0.499,0.169,0.196,0.251,0.745,0.765,0.843,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23.01.19,13:27:45,11,1252,0.149,0.1819,0.1426,0.1461,0.1833,0.1407,0.1142,0.1422,0.1158,0,0,0,0.44,0.476,0.53,0.56,0.524,0.47,0.196,0.227,0.282,0.784,0.804,0.863,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
