Date,Time,No.,PAR,F1,Fm'1,Fo'1,Y(II)1,Y(NPQ)1,Y(NO)1,qN1,qP1,qL1,ETR1,Abs.1,Inh.1
23.01.19,15:52:10,1,0,0.1706,0.298,0.1706,0.428,0,0.572,0,1,1,0,1,0
23.01.19,15:52:21,2,2,0.1735,0.35,0.1864,0.504,0,0.572,0,1,1,0.5,1,0
23.01.19,15:52:31,3,12,0.1804,0.2838,0.1658,0.364,0.03,0.606,0.106,0.878,0.808,2.2,1,0
23.01.19,15:52:41,4,22,0.1897,0.2721,0.1617,0.303,0.06,0.637,0.192,0.745,0.635,3.3,1,0
23.01.19,15:52:51,5,37,0.1931,0.2613,0.1579,0.261,0.091,0.648,0.263,0.659,0.539,4.8,1,0
23.01.19,15:53:01,6,82,0.2113,0.2456,0.152,0.14,0.155,0.705,0.361,0.369,0.265,5.7,1,0
23.01.19,15:53:11,7,147,0.2172,0.2358,0.1482,0.079,0.194,0.727,0.416,0.212,0.145,5.8,1,0
23.01.19,15:53:21,8,337,0.2216,0.2265,0.1445,0.022,0.217,0.761,0.467,0,0,3.6,1,0
23.01.19,15:53:31,9,612,0.2157,0.2176,0.1408,0,0.274,0.726,0.51,0,0,0,1,0
23.01.19,15:53:41,10,927,0.2074,0.2059,0.1358,0,0.313,0.687,0.569,0,0,0,1,0
23.01.19,15:53:51,11,1252,0.1975,0.1951,0.131,0,0.348,0.652,0.616,0,0,0,1,0
