Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
23.01.19,13:40:18,1,0,0.202,0.251,0.2618,0.4833,0.599,0.6029,0.202,0.251,0.2618,0.582,0.581,0.566,0,0,0,0.418,0.419,0.434,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.002,0.028
23.01.19,13:40:29,2,2,0.2103,0.2618,0.2721,0.4735,0.5892,0.5956,0.2002,0.2492,0.2604,0.556,0.556,0.543,0.008,0.007,0.003,0.436,0.437,0.454,0.004,0.004,0,0.035,0.027,0,0.965,0.965,0.965,0.919,0.919,0.923,0.6,0.6,0.5,1,1,1,0,0,0.023
23.01.19,13:40:39,3,12,0.2373,0.2912,0.3044,0.4701,0.5843,0.5853,0.1996,0.2484,0.2584,0.495,0.502,0.48,0.015,0.014,0.015,0.49,0.484,0.505,0.008,0.008,0.008,0.047,0.043,0.051,0.863,0.875,0.859,0.726,0.746,0.729,3,3,2.9,1,1,1,0,-0.013,0.031
23.01.19,13:40:49,4,22,0.2701,0.3319,0.3377,0.4603,0.574,0.5701,0.1978,0.2465,0.2554,0.413,0.422,0.408,0.027,0.026,0.034,0.559,0.552,0.559,0.012,0.012,0.016,0.082,0.071,0.094,0.725,0.741,0.737,0.531,0.55,0.557,4.5,4.6,4.5,1,1,1,0,-0.021,0.014
23.01.19,13:40:59,5,37,0.2902,0.3559,0.3539,0.452,0.5686,0.5574,0.1963,0.2455,0.2528,0.358,0.374,0.365,0.039,0.03,0.046,0.603,0.596,0.589,0.016,0.012,0.02,0.11,0.086,0.129,0.631,0.659,0.667,0.427,0.454,0.476,6.6,6.9,6.8,1,1,1,0,-0.045,-0.02
23.01.19,13:41:09,6,82,0.3441,0.4309,0.4186,0.4412,0.5554,0.5451,0.1942,0.243,0.2502,0.22,0.224,0.232,0.067,0.057,0.075,0.713,0.719,0.693,0.024,0.02,0.027,0.145,0.122,0.165,0.392,0.4,0.427,0.221,0.226,0.256,9,9.2,9.5,1,1,1,0,-0.019,-0.055
23.01.19,13:41:19,7,147,0.377,0.4779,0.4603,0.4299,0.5466,0.5319,0.192,0.2413,0.2474,0.123,0.126,0.135,0.098,0.075,0.106,0.779,0.8,0.759,0.031,0.024,0.035,0.184,0.145,0.2,0.224,0.224,0.251,0.114,0.113,0.135,9.1,9.2,9.9,1,1,1,0,-0.02,-0.093
23.01.19,13:41:29,8,337,0.3975,0.5029,0.4897,0.4152,0.5245,0.5142,0.189,0.2369,0.2435,0.043,0.041,0.048,0.13,0.118,0.14,0.827,0.84,0.812,0.039,0.035,0.043,0.231,0.204,0.247,0.078,0.075,0.09,0.037,0.035,0.045,7.2,6.9,8,1,1,1,0,0.033,-0.121
23.01.19,13:41:39,9,612,0.3917,0.4912,0.4828,0.399,0.5005,0.4922,0.1856,0.2319,0.2385,0.018,0.019,0.019,0.151,0.166,0.176,0.831,0.815,0.805,0.051,0.051,0.055,0.282,0.267,0.306,0,0.035,0.035,0,0.017,0.017,5.6,5.7,5.8,1,1,1,0,-0.01,-0.027
23.01.19,13:41:49,10,927,0.3784,0.4735,0.4672,0.3784,0.476,0.4696,0.181,0.2265,0.233,0,0,0,0.22,0.201,0.22,0.78,0.799,0.78,0.071,0.063,0.071,0.345,0.329,0.361,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23.01.19,13:41:59,11,1252,0.3578,0.4475,0.4451,0.3569,0.4471,0.4475,0.1759,0.2197,0.2275,0,0,0,0.265,0.257,0.257,0.735,0.743,0.743,0.09,0.086,0.086,0.412,0.4,0.416,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
